Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4243599171529908225939682013,0.424359917152991,0.399254335048948,0.424359917152991,0.399254335048948,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,695278.7
0.02,0,0.4090687673256090336547248076,0.409068767325609,0.383963185221566,0.409068767325609,0.383963185221566,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,1390557
0.03,0,0.3922059278873016820049432204,0.392205927887302,0.367100345783259,0.392205927887302,0.367100345783259,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,2085836
0.04,0,0.3786894062765572787756553840,0.378689406276557,0.353583824172514,0.378689406276557,0.353583824172514,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,2781115
0.05,0,0.3678449018280827954032446101,0.367844901828083,0.34273931972404,0.367844901828083,0.34273931972404,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,3476394
0.06,0,0.3589377407385849666130788461,0.358937740738585,0.333832158634542,0.358937740738585,0.333832158634542,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,4171672
0.07,0,0.3514547088809493955501384388,0.351454708880949,0.326349126776906,0.351454708880949,0.326349126776906,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,4866951
0.08,0,0.3450474809245521598370111982,0.345047480924552,0.319941898820509,0.345047480924552,0.319941898820509,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,5562230
0.09,0,0.3405183952885687583072058119,0.340518395288569,0.315412813184526,0.340518395288569,0.315412813184526,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,6257508
0.10,0,0.3460464828244639138090776019,0.346046482824464,0.320940900720421,0.346046482824464,0.320940900720421,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,6952787
0.11,0,0.3501305804299150595139028294,0.350130580429915,0.325024998325872,0.350130580429915,0.325024998325872,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,7648066
0.12,0,0.3531769833831104025700950741,0.35317698338311,0.328071401279067,0.35317698338311,0.328071401279067,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,8343344
0.13,0,0.3554591740160410384263217282,0.355459174016041,0.330353591911998,0.355459174016041,0.330353591911998,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,9038623
0.14,0,0.3571670459269277521035070151,0.357167045926928,0.332061463822885,0.357167045926928,0.332061463822885,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,9733902
0.15,0,0.3584359842980434173584479155,0.358435984298043,0.333330402194,0.358435984298043,0.333330402194,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,10429180
0.16,0,0.3593646581406642491892085268,0.359364658140664,0.334259076036621,0.359364658140664,0.334259076036621,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,11124460
0.17,0,0.3600263293657217221648624087,0.360026329365722,0.334920747261679,0.360026329365722,0.334920747261679,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,11819740
0.18,0,0.3604763662650407656283828827,0.360476366265041,0.335370784160998,0.360476366265041,0.335370784160998,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,12515020
0.19,0,0.3607572049468835099362420688,0.360757204946884,0.33565162284284,0.360757204946884,0.33565162284284,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,13210300
0.20,0,0.3609017558096436107862501748,0.360901755809644,0.335796173705601,0.360901755809644,0.335796173705601,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,13905570
0.21,0,0.3609358607430174398805194681,0.360935860743018,0.335830278638974,0.360935860743018,0.335830278638974,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,14600850
0.22,0,0.3608800626350423039027017236,0.360880062635042,0.335774480530999,0.360880062635042,0.335774480530999,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,15296130
0.23,0,0.3607507359962162145737506294,0.360750735996216,0.335645153892173,0.360750735996216,0.335645153892173,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,15991410
0.24,0,0.3605611175019843121044333417,0.360561117501984,0.335455535397941,0.360561117501984,0.335455535397941,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,16686690
0.25,0,0.3603219907685253743985483374,0.360321990768525,0.335216408664482,0.360321990768525,0.335216408664482,0,0,0,0,13.7722747611819,93.93095261534440144268091226,93.93095261534440144268091226,17381970
